zone,feature,odds_ratio
DK1,actual_load_mw,0.6680636576119242
DK1,renewable_share,282.78240377053277
DK1,wind100,3.0324659366303512
DK1,t2m,2.598854327112248
DK1,net_export_mw,0.19495439107668053
DK2,actual_load_mw,0.4201317270660286
DK2,renewable_share,12.00917048523846
DK2,wind100,3.309640175622239
DK2,t2m,1.4484393540681666
DK2,net_export_mw,0.4180015130747106
FI,actual_load_mw,0.3672017702025868
FI,renewable_share,2.297795621374515
FI,wind100,1.9392362996821813
FI,t2m,1.5069719115558031
FI,net_export_mw,3.0456002234718142
NO1,actual_load_mw,0.1548685951531961
NO1,renewable_share,0.5358409718644905
NO1,wind100,1.7640696642488913
NO1,t2m,1.4161331194891555
NO1,net_export_mw,1.0505490635753767
NO2,actual_load_mw,0.3649803199757937
NO2,renewable_share,29.545702462023574
NO2,wind100,1.882660735352984
NO2,t2m,2.0359619135673923
NO2,net_export_mw,0.12427047751576359
NO3,actual_load_mw,0.2001780248300185
NO3,renewable_share,0.5851046773737748
NO3,wind100,2.546741422282682
NO3,t2m,0.5001509934067667
NO3,net_export_mw,1.93085877690065
NO4,actual_load_mw,0.3426580617356781
NO4,renewable_share,1.5146594984766477
NO4,wind100,2.1425737359897377
NO4,t2m,0.8046678933503869
NO4,net_export_mw,0.26417058656618153
NO5,actual_load_mw,0.2152662997293728
NO5,renewable_share,2.3367350456972065
NO5,wind100,2.1184752135210716
NO5,t2m,0.82298043520739
NO5,net_export_mw,1.6964195859941371
SE1,actual_load_mw,0.6363077031275786
SE1,renewable_share,1.760104387482395
SE1,wind100,4.9032113836608975
SE1,t2m,0.9190291601839038
SE1,net_export_mw,0.18480492722874597
SE2,actual_load_mw,0.47219219074831714
SE2,renewable_share,2.9582364979552427
SE2,wind100,3.934635800792284
SE2,t2m,0.8557522158737925
SE2,net_export_mw,0.39408051407618977
SE3,actual_load_mw,0.21029992160860367
SE3,renewable_share,1.4831349883336442
SE3,wind100,3.2575486572729
SE3,t2m,1.2977213544940351
SE3,net_export_mw,1.8215158926136945
SE4,actual_load_mw,0.37130619907488827
SE4,renewable_share,6.758608863939003
SE4,wind100,1.545742380849334
SE4,t2m,1.3850027775964062
SE4,net_export_mw,1.49744076412218
